region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
Suffolk County,New York,41.288386,40.6114939,-71.856832,-73.4958397,40.8368694377681,-73.0306989069069,1020.85,354406,87.0511856296046,77.1267717203723,727861,4329315,3170344,3695544,9576650,28,21499714,7,5374928.5,191483013.489424,1361642898.59322,895302589.823503,1053946246.19277,2896766569.56133,8468.17314453125,6399141317.66027,"[[0,98704],[5,140641],[10,66114],[15,21665],[20,7713],[25,3379],[30,1891],[35,1382],[40,1074],[45,849],[50,739],[55,660],[60,595],[65,510],[70,470],[75,418],[80,398],[85,371],[90,355],[95,313],[100,216],[105,218],[110,204],[115,176],[120,202],[125,149],[130,149],[135,140],[140,139],[145,165],[150,130],[155,107],[160,103],[165,88],[170,104],[175,117],[180,94],[185,85],[190,77],[195,94],[200,70],[205,75],[210,55],[215,66],[220,65],[225,62],[230,65],[235,61],[240,69],[245,73],[250,64],[255,62],[260,54],[265,40],[270,43],[275,40],[280,38],[285,39],[290,24],[295,29],[300,37],[305,34],[310,42],[315,36],[320,37],[325,33],[330,24],[335,32],[340,37],[345,26],[350,33],[355,26],[360,31],[365,34],[370,41],[375,39],[380,30],[385,31],[390,25],[395,22],[400,17],[405,20],[410,21],[415,16],[420,15],[425,26],[430,22],[435,22],[440,24],[445,22],[450,15],[455,19],[460,13],[465,16],[470,10],[475,9],[480,14],[485,15],[490,12],[495,21],[500,19],[505,19],[510,21],[515,18],[520,18],[525,17],[530,13],[535,13],[540,11],[545,12],[550,13],[555,18],[560,13],[565,17],[570,15],[575,7],[580,19],[585,17],[590,10],[595,12],[600,17],[605,8],[610,18],[615,17],[620,11],[625,14],[630,8],[635,14],[640,6],[645,9],[650,10],[655,14],[660,12],[665,11],[670,10],[675,7],[680,9],[685,7],[690,11],[695,8],[700,5],[705,10],[710,8],[715,8],[720,7],[725,6],[730,8],[735,8],[740,7],[745,8],[750,9],[755,12],[760,8],[765,4],[770,7],[775,3],[780,7],[785,6],[790,12],[795,6],[800,7],[805,6],[810,8],[815,5],[820,4],[825,12],[830,8],[835,5],[840,6],[845,7],[850,6],[855,4],[860,6],[865,7],[870,3],[875,5],[880,8],[885,5],[890,6],[895,6],[900,2],[910,2],[915,1],[920,3],[925,3],[930,5],[935,4],[940,5],[945,4],[950,2],[955,3],[960,5],[965,5],[970,4],[975,7],[980,4],[985,7],[990,8],[995,274],[1000,171]]",3899592.84778032,10321
Sullivan County,Tennessee,36.5958119,36.3960972,-82.0474178,-82.6754521,36.5395854661525,-82.397059388782,1041.33141067556,11501,43.1033962264151,80.550497268525,67364,156360,113903,135633,535542,33,1008802,8.25,252200.5,18431834.5081299,50990803.7416748,33422069.6510254,41244521.3803587,169085023.086322,10202.7799316406,313174252.367511,"[[0,2976],[5,3659],[10,1866],[15,973],[20,440],[25,245],[30,164],[35,133],[40,119],[45,104],[50,75],[55,66],[60,49],[65,49],[70,28],[75,49],[80,33],[85,34],[90,31],[95,21],[100,14],[105,24],[110,9],[115,19],[120,17],[125,13],[130,9],[135,8],[140,11],[145,10],[150,10],[155,8],[160,6],[165,9],[170,4],[175,5],[180,8],[185,6],[190,2],[195,7],[200,6],[205,8],[210,4],[215,3],[220,7],[225,1],[230,7],[235,5],[240,2],[245,2],[250,4],[255,4],[260,4],[265,2],[270,2],[275,2],[280,2],[285,2],[290,2],[295,1],[305,2],[310,2],[315,2],[320,1],[325,3],[330,3],[335,3],[340,1],[345,3],[350,1],[355,1],[360,1],[365,2],[370,1],[380,2],[390,7],[395,1],[400,1],[415,1],[420,2],[430,1],[435,2],[440,2],[445,2],[450,1],[460,2],[475,2],[480,1],[485,2],[490,2],[500,1],[505,2],[515,1],[525,1],[530,1],[545,1],[555,1],[600,1],[615,2],[625,1],[630,2],[655,1],[660,1],[680,1],[685,1],[690,1],[700,1],[705,1],[720,2],[750,1],[755,1],[780,1],[790,1],[795,1],[805,1],[815,1],[830,1],[835,1],[865,1],[880,1],[885,3],[895,2],[905,1],[925,1],[995,9],[1000,5]]",239145.22963583,19
Summit County,Ohio,41.3506194,40.9071293,-81.3919246,-81.6879693,41.1081442465278,-81.5151047340143,938.4,135164,85.7177321016571,69.1655451563547,520844,1842564,1108689,1455184,4032497,26,8959778,6.5,2239944.5,127230595.575907,527803535.343706,288122612.423093,383646720.986105,1144503283.33848,7003.45899658203,2471306747.66733,"[[0,46714],[5,47053],[10,20511],[15,7962],[20,3116],[25,1538],[30,979],[35,702],[40,598],[45,537],[50,424],[55,325],[60,330],[65,243],[70,233],[75,216],[80,175],[85,175],[90,151],[95,128],[100,134],[105,136],[110,103],[115,83],[120,106],[125,100],[130,66],[135,88],[140,80],[145,54],[150,72],[155,55],[160,51],[165,37],[170,62],[175,52],[180,43],[185,36],[190,42],[195,42],[200,35],[205,29],[210,36],[215,32],[220,36],[225,45],[230,27],[235,31],[240,38],[245,28],[250,28],[255,28],[260,21],[265,25],[270,23],[275,20],[280,19],[285,22],[290,20],[295,23],[300,12],[305,15],[310,18],[315,18],[320,14],[325,12],[330,9],[335,16],[340,9],[345,18],[350,11],[355,13],[360,14],[365,14],[370,23],[375,13],[380,19],[385,13],[390,7],[395,7],[400,10],[405,13],[410,10],[415,8],[420,8],[425,11],[430,10],[435,11],[440,6],[445,11],[450,7],[455,7],[460,9],[465,11],[470,8],[475,11],[480,6],[485,12],[490,7],[495,8],[500,12],[505,9],[510,8],[515,6],[520,8],[525,5],[530,10],[535,10],[540,8],[545,11],[550,6],[555,12],[560,7],[565,7],[570,3],[575,9],[580,2],[585,5],[590,8],[595,4],[600,2],[605,2],[610,4],[615,4],[620,5],[630,4],[635,4],[640,5],[645,7],[650,5],[655,1],[660,6],[665,3],[670,3],[675,4],[680,6],[685,2],[690,4],[695,1],[700,3],[705,6],[710,4],[715,5],[720,3],[725,4],[730,1],[735,1],[740,5],[745,2],[750,1],[755,1],[760,4],[765,6],[770,7],[775,6],[780,2],[790,5],[795,2],[800,1],[805,3],[810,2],[815,2],[820,4],[830,4],[835,1],[840,3],[845,3],[850,2],[855,3],[860,1],[865,2],[870,1],[875,3],[880,3],[885,5],[890,3],[895,2],[900,1],[905,1],[910,4],[925,4],[935,2],[940,1],[945,2],[950,3],[955,2],[960,1],[965,3],[970,1],[975,7],[985,4],[990,12],[995,134],[1000,67]]",2045881.07642471,160
Sumner County,Tennessee,36.637872,36.248874,-86.2211103,-86.7534656,36.3704504847169,-86.5564228667757,1025.95,22818,43.7118327466054,93.7584747503801,130067,392866,343704,330100,448277,47,1645014,11.75,411253.5,34881140.5753051,126838335.497339,101304428.280878,95098312.1323056,140685985.245813,13890.5195617676,498808201.731642,"[[0,2395],[5,6432],[10,6256],[15,3939],[20,1708],[25,642],[30,305],[35,148],[40,110],[45,97],[50,91],[55,82],[60,47],[65,49],[70,44],[75,42],[80,31],[85,30],[90,26],[95,7],[100,19],[105,16],[110,19],[115,16],[120,12],[125,16],[130,14],[135,4],[140,6],[145,5],[150,13],[155,9],[160,5],[165,10],[170,9],[175,5],[180,2],[185,9],[190,6],[195,2],[205,3],[210,4],[215,5],[220,2],[225,3],[230,3],[235,2],[240,7],[245,2],[250,2],[255,2],[260,5],[265,1],[275,2],[280,1],[290,2],[295,1],[300,1],[305,1],[310,1],[315,1],[320,2],[330,1],[335,2],[345,2],[350,1],[360,2],[365,1],[370,2],[395,1],[400,2],[415,1],[420,1],[430,1],[435,1],[440,3],[460,1],[475,1],[480,3],[505,2],[515,2],[520,1],[540,1],[545,1],[550,1],[555,1],[560,1],[570,2],[575,1],[580,1],[600,1],[615,1],[640,1],[660,1],[680,1],[690,1],[700,1],[715,1],[725,2],[785,1],[815,1],[855,1],[870,1],[875,1],[915,1],[920,1],[930,2],[935,2],[945,1],[985,2],[990,1],[995,19],[1000,3]]",380898.496749229,39
Sumter County,South Carolina,34.098742,33.7391944,-79.8976889,-80.5716416,33.9288407298959,-80.3805484285554,1097.35,9023,63.8558077436582,75.4620724261939,42367,143498,104310,118393,590303,38,998871,9.5,249717.75,12106872.7116516,48671314.8810058,32045908.9762208,37075469.6857116,195975084.706055,12112.0783203125,325874650.960645,"[[0,1925],[5,2652],[10,1684],[15,830],[20,414],[25,243],[30,153],[35,105],[40,89],[45,84],[50,78],[55,79],[60,48],[65,35],[70,37],[75,33],[80,36],[85,24],[90,25],[95,17],[100,20],[105,32],[110,18],[115,19],[120,15],[125,15],[130,11],[135,7],[140,11],[145,11],[150,15],[155,13],[160,8],[165,6],[170,10],[175,5],[180,6],[185,8],[190,2],[195,3],[200,3],[205,10],[210,5],[215,2],[220,6],[225,6],[230,6],[235,4],[240,2],[245,3],[250,4],[255,2],[260,5],[265,3],[270,1],[280,5],[285,2],[290,1],[295,1],[300,4],[305,3],[310,3],[315,1],[320,4],[325,2],[330,1],[335,1],[340,2],[355,2],[360,1],[365,1],[370,2],[375,2],[380,3],[390,1],[395,1],[405,1],[410,2],[415,2],[420,2],[445,1],[450,2],[460,3],[465,1],[470,1],[480,3],[495,1],[505,2],[510,1],[515,1],[520,2],[530,1],[535,2],[545,1],[550,1],[560,1],[580,1],[615,1],[620,1],[625,1],[640,2],[650,1],[655,1],[660,2],[690,1],[725,4],[740,1],[755,1],[770,1],[780,1],[815,1],[830,2],[840,1],[850,1],[860,1],[870,1],[890,1],[895,1],[900,1],[970,1],[990,1],[995,26],[1000,4]]",191303.572003946,1
Sumter County,Florida,28.9599523,28.5478194,-81.9535029,-82.2575765,28.8536358069912,-82.0160966132382,1140.7,12029,59.1297914643732,94.0647482014388,96348,184516,167942,187431,379694,60,1015931,15,253982.75,28648895.0542358,68037173.2340698,55467346.3952576,62283736.5059387,133866417.300665,20487.327331543,348303568.490165,"[[0,587],[5,1854],[10,3423],[15,2977],[20,1321],[25,568],[30,351],[35,268],[40,190],[45,101],[50,48],[55,39],[60,23],[65,18],[70,24],[75,22],[80,10],[85,18],[90,12],[95,12],[100,13],[105,9],[110,12],[115,2],[120,2],[125,6],[130,2],[135,2],[140,6],[145,5],[150,5],[155,2],[160,3],[165,5],[170,1],[180,3],[185,3],[190,2],[195,1],[200,3],[205,2],[210,4],[215,2],[220,1],[225,1],[230,1],[235,1],[240,1],[245,5],[250,3],[260,1],[285,1],[295,2],[305,1],[310,1],[315,1],[330,1],[335,1],[345,3],[350,1],[365,1],[375,2],[385,1],[395,1],[405,1],[410,1],[420,1],[425,1],[445,1],[450,1],[465,1],[480,1],[495,1],[500,1],[525,1],[560,1],[625,1],[630,1],[660,1],[665,2],[670,1],[755,1],[765,1],[785,1],[810,2],[855,1],[870,1],[930,1],[950,2],[990,2],[995,5],[1000,2]]",186175.404658785,124
Sussex County,Delaware,38.9396974,38.4513344,-75.0499576,-75.6995531,38.6521285938301,-75.259381178615,1049.75,3573,10.0604132469159,60.1009251471825,14836,59875,39123,43253,176515,30,333602,7.5,83400.5,4033802.7130188,19767461.5423462,11572368.3756287,12876473.3559509,55375000.5061035,9241.94790039063,103625106.493048,"[[0,1094],[5,1084],[10,470],[15,214],[20,131],[25,95],[30,58],[35,58],[40,26],[45,28],[50,26],[55,17],[60,22],[65,24],[70,16],[75,17],[80,15],[85,11],[90,16],[95,13],[100,10],[105,9],[110,7],[115,6],[120,6],[125,5],[130,4],[135,4],[140,4],[145,5],[150,8],[155,2],[160,3],[165,3],[170,4],[175,2],[180,1],[185,2],[190,2],[210,2],[220,2],[225,2],[235,1],[265,1],[270,1],[275,1],[285,2],[290,1],[295,2],[310,3],[315,1],[320,1],[325,1],[350,1],[390,1],[405,1],[410,1],[440,1],[485,1],[490,1],[510,1],[520,1],[525,1],[545,1],[560,2],[575,1],[630,1],[640,1],[655,1],[685,1],[770,1],[830,1],[840,1],[885,1],[990,1],[995,6],[1000,1]]",65849.6756158811,14
Sutter County,California,39.3052151,38.7348454,-121.4152266,-121.9451557,39.1372069262992,-121.643790366588,1208.7,23950,81.25,91.8398650203237,112048,417226,297353,383004,562244,49,1771875,12.25,442968.75,34875588.0821839,159304219.458564,100475412.616137,131115547.887086,203504031.521404,17285.3984985352,629274799.565376,"[[0,2621],[5,6101],[10,6306],[15,4012],[20,2011],[25,911],[30,406],[35,252],[40,187],[45,131],[50,99],[55,97],[60,78],[65,72],[70,64],[75,50],[80,44],[85,46],[90,32],[95,41],[100,22],[105,22],[110,23],[115,15],[120,25],[125,10],[130,18],[135,13],[140,10],[145,6],[150,8],[155,6],[160,7],[165,15],[170,8],[175,8],[180,7],[185,9],[190,7],[195,7],[200,5],[205,10],[210,3],[215,5],[220,9],[225,5],[230,1],[235,2],[240,2],[245,1],[250,8],[255,2],[260,2],[265,4],[270,2],[275,3],[280,1],[285,1],[290,3],[295,5],[300,3],[305,1],[310,1],[315,2],[320,1],[325,2],[330,1],[340,3],[355,1],[365,2],[370,2],[375,1],[380,1],[390,2],[395,1],[420,1],[440,1],[445,1],[450,2],[455,2],[460,2],[465,1],[485,3],[490,1],[510,1],[515,1],[520,1],[545,1],[555,1],[600,1],[620,1],[645,1],[680,1],[730,1],[775,1],[895,1],[995,16],[1000,3]]",171559.832417846,1587
Talladega County,Alabama,33.6345781,33.1033023,-85.8025774,-86.4726221,33.3218987452114,-86.1977621502486,1079.5,3243,42.7031509121061,78.7135922330097,30894,64643,47866,48688,319956,45,512047,11.25,128011.75,8849754.49665527,22084176.0189941,14821017.3621399,14894058.3447266,105769643.159296,14546.1284423828,166418649.381811,"[[0,604],[5,827],[10,472],[15,280],[20,197],[25,102],[30,82],[35,63],[40,61],[45,45],[50,44],[55,32],[60,30],[65,15],[70,25],[75,28],[80,29],[85,15],[90,17],[95,16],[100,21],[105,16],[110,13],[115,9],[120,8],[125,10],[130,8],[135,4],[140,7],[145,6],[150,6],[155,8],[160,6],[165,3],[170,4],[175,4],[180,2],[185,5],[190,1],[200,2],[205,2],[210,3],[215,5],[220,3],[225,1],[230,2],[235,1],[240,1],[245,5],[250,1],[255,1],[260,5],[265,2],[270,7],[275,3],[290,1],[295,2],[300,2],[305,1],[310,1],[315,2],[320,1],[325,1],[330,2],[335,1],[340,1],[345,1],[350,1],[365,1],[370,1],[375,1],[395,2],[400,1],[405,1],[410,1],[415,1],[430,1],[445,1],[455,1],[465,1],[470,1],[475,1],[490,1],[495,2],[510,1],[520,2],[525,1],[545,1],[565,1],[580,1],[590,1],[600,1],[615,2],[630,1],[655,1],[660,1],[765,1],[790,1],[825,1],[880,1],[915,1],[940,1],[980,1],[985,1],[995,13],[1000,4]]",99914.2411736592,1
Taney County,Missouri,36.8084089,36.5001114,-92.7730416,-93.3139285,36.6440452407707,-93.2277303582537,1086.3,5248,70.8487804878049,72.2665932250069,27842,116282,83424,98268,323637,41,649453,10.25,162363.25,7786758.76217041,39843287.225116,25168856.1761474,30495199.7959839,105641036.933893,12986.0717285156,208935138.893311,"[[0,1118],[5,1402],[10,854],[15,444],[20,268],[25,141],[30,118],[35,84],[40,80],[45,63],[50,61],[55,34],[60,52],[65,56],[70,38],[75,37],[80,24],[85,19],[90,21],[95,19],[100,21],[105,16],[110,16],[115,13],[120,14],[125,15],[130,11],[135,7],[140,8],[145,9],[150,5],[155,4],[160,2],[165,4],[170,3],[175,4],[180,6],[185,5],[190,7],[195,6],[200,2],[205,3],[210,5],[215,2],[220,7],[225,1],[230,5],[235,6],[240,4],[245,4],[250,5],[260,2],[265,2],[270,5],[275,1],[280,8],[285,1],[290,1],[300,3],[305,1],[310,2],[320,1],[330,1],[340,1],[345,1],[350,1],[355,1],[360,1],[365,1],[370,2],[380,1],[385,1],[390,2],[395,1],[400,1],[415,1],[420,2],[425,1],[430,1],[445,1],[450,1],[455,1],[460,1],[465,1],[470,1],[475,3],[480,1],[490,1],[495,1],[505,2],[510,1],[515,1],[520,1],[525,1],[555,1],[575,1],[580,1],[590,1],[595,1],[600,1],[605,3],[650,1],[655,1],[695,1],[715,1],[755,1],[825,1],[830,1],[875,1],[925,1],[930,1],[965,1],[980,1],[985,1],[990,1],[995,6],[1000,1]]",175906.535891177,1
Tangipahoa Parish,Louisiana,30.9996515,30.2895527,-90.2443488,-90.5669538,30.5019692060232,-90.4492659984886,1093.1,22985,82.1736991692173,76.4408527054441,107853,350635,244594,298803,798798,39,1800683,9.75,450170.75,31101817.1645508,117590193.642591,74537654.9627138,91431512.4108281,267907369.643725,12236.7731750488,582568547.824408,"[[0,4453],[5,7041],[10,4631],[15,2509],[20,1302],[25,757],[30,477],[35,330],[40,209],[45,124],[50,99],[55,85],[60,88],[65,73],[70,56],[75,48],[80,50],[85,48],[90,37],[95,44],[100,24],[105,23],[110,24],[115,28],[120,14],[125,21],[130,22],[135,14],[140,25],[145,20],[150,6],[155,10],[160,5],[165,10],[170,2],[175,8],[180,12],[185,8],[190,6],[195,6],[200,8],[205,4],[210,7],[215,7],[220,10],[225,5],[230,7],[235,9],[240,3],[245,5],[250,5],[255,3],[260,6],[265,1],[270,4],[275,4],[280,3],[285,3],[290,8],[295,2],[300,1],[305,4],[310,2],[315,2],[320,2],[330,1],[335,1],[340,2],[345,2],[350,3],[355,1],[365,4],[380,3],[385,2],[390,1],[405,1],[410,1],[415,2],[420,2],[425,2],[430,2],[440,1],[445,3],[450,1],[455,1],[460,1],[465,1],[475,1],[480,2],[490,2],[500,1],[510,1],[515,1],[520,1],[540,3],[560,1],[575,1],[585,1],[590,1],[600,3],[605,1],[615,1],[630,1],[645,3],[655,2],[670,2],[680,2],[685,2],[695,1],[715,1],[720,1],[740,1],[755,1],[765,1],[770,1],[780,2],[785,1],[795,1],[810,1],[815,1],[875,1],[880,1],[890,1],[895,1],[905,1],[935,1],[945,1],[960,1],[965,1],[970,1],[975,1],[990,1],[995,19],[1000,6]]",355949.509624508,73
Tarrant County,Texas,32.9939537,32.5490448,-97.0331272,-97.549813,32.7645377036917,-97.25477914658,1155.15,455303,90.2253048070203,81.6424860896681,1562529,6787141,3208772,5747113,13659652,34,30965207,8.5,7741301.75,468649526.128878,2455106100.35679,1017671569.53735,1904728159.50296,4753556787.60015,11604.3734863281,10599712143.1261,"[[0,101784],[5,164382],[10,102396],[15,39567],[20,13381],[25,6528],[30,4183],[35,2971],[40,2346],[45,1731],[50,1443],[55,1166],[60,995],[65,809],[70,708],[75,603],[80,546],[85,474],[90,407],[95,354],[100,341],[105,311],[110,316],[115,295],[120,257],[125,230],[130,239],[135,217],[140,203],[145,219],[150,158],[155,146],[160,144],[165,147],[170,129],[175,121],[180,125],[185,121],[190,115],[195,111],[200,96],[205,102],[210,82],[215,98],[220,83],[225,68],[230,80],[235,85],[240,73],[245,89],[250,77],[255,61],[260,52],[265,57],[270,61],[275,59],[280,52],[285,63],[290,66],[295,58],[300,65],[305,43],[310,39],[315,37],[320,34],[325,47],[330,37],[335,33],[340,30],[345,41],[350,52],[355,38],[360,38],[365,43],[370,24],[375,27],[380,34],[385,56],[390,30],[395,38],[400,27],[405,35],[410,39],[415,25],[420,32],[425,37],[430,29],[435,23],[440,22],[445,33],[450,34],[455,29],[460,15],[465,22],[470,24],[475,19],[480,23],[485,27],[490,28],[495,24],[500,16],[505,20],[510,23],[515,24],[520,24],[525,13],[530,19],[535,16],[540,21],[545,15],[550,14],[555,16],[560,20],[565,16],[570,25],[575,13],[580,22],[585,25],[590,9],[595,18],[600,10],[605,18],[610,20],[615,17],[620,9],[625,16],[630,12],[635,13],[640,14],[645,13],[650,11],[655,11],[660,13],[665,13],[670,10],[675,10],[680,10],[685,11],[690,12],[695,8],[700,15],[705,13],[710,10],[715,8],[720,14],[725,7],[730,11],[735,6],[740,6],[745,8],[750,9],[755,12],[760,12],[765,10],[770,11],[775,6],[780,9],[785,17],[790,9],[795,9],[800,5],[805,9],[810,9],[815,10],[820,10],[825,5],[830,9],[835,2],[840,6],[845,10],[850,8],[855,5],[860,9],[865,10],[870,12],[875,5],[880,6],[885,2],[890,11],[895,4],[900,10],[905,5],[910,6],[915,4],[920,1],[925,4],[930,3],[935,7],[940,7],[945,6],[950,9],[955,2],[960,6],[965,8],[970,5],[975,10],[980,6],[985,5],[990,27],[995,442],[1000,247]]",5154496.37284082,1425
Taylor County,Texas,32.5207772,32.1363038,-99.6297962,-100.1490778,32.4271315451125,-99.7606848606312,1252.9,45973,97.613586935031,93.1174171072087,185054,650799,437787,612584,1809386,43,3695610,10.75,923902.5,60214117.0973569,259680824.420696,151914708.714568,223227838.560487,677443987.466481,15806.4858642578,1372481476.25958,"[[0,6282],[5,14539],[10,11208],[15,5668],[20,2684],[25,1261],[30,672],[35,482],[40,393],[45,298],[50,255],[55,204],[60,177],[65,155],[70,154],[75,98],[80,95],[85,74],[90,88],[95,66],[100,71],[105,68],[110,50],[115,48],[120,38],[125,43],[130,40],[135,26],[140,26],[145,25],[150,27],[155,23],[160,21],[165,30],[170,23],[175,12],[180,19],[185,18],[190,14],[195,15],[200,12],[205,6],[210,14],[215,14],[220,11],[225,14],[230,14],[235,7],[240,11],[245,10],[250,6],[255,7],[260,7],[265,13],[270,6],[275,2],[280,10],[285,4],[290,8],[295,10],[300,5],[305,8],[310,4],[315,5],[320,10],[325,6],[330,5],[335,5],[340,1],[345,7],[350,1],[355,3],[360,5],[365,6],[370,6],[375,4],[380,3],[385,2],[395,2],[400,4],[405,3],[410,6],[415,2],[420,5],[425,4],[430,3],[435,7],[440,3],[445,3],[455,7],[465,3],[470,5],[475,1],[480,5],[485,1],[490,2],[495,4],[500,2],[505,3],[510,2],[515,5],[520,5],[525,2],[535,1],[540,1],[545,4],[550,2],[555,1],[560,1],[565,1],[570,1],[580,1],[590,1],[600,1],[605,2],[615,3],[630,2],[635,2],[640,2],[650,2],[655,4],[660,1],[665,1],[670,1],[680,1],[690,1],[695,2],[710,1],[715,2],[720,1],[725,1],[730,1],[740,1],[745,1],[755,1],[760,1],[765,1],[770,2],[785,1],[790,2],[795,1],[800,1],[810,1],[865,1],[880,1],[885,1],[910,1],[915,1],[920,2],[925,2],[935,1],[940,1],[960,2],[970,1],[995,34],[1000,16]]",667419.142675409,29
Tazewell County,Illinois,40.7478671,40.3374057,-89.2935163,-89.7842899,40.6134624105251,-89.5396805130826,1006.4,25113,65.6727761183478,67.5861883359798,102517,384498,283882,321363,799810,32,1892070,8,473017.5,26703631.6133179,119252734.207648,80019387.7798158,90042337.894653,240713744.103241,9093.81578979492,556731835.598676,"[[0,7064],[5,8182],[10,4425],[15,2068],[20,953],[25,466],[30,294],[35,179],[40,155],[45,110],[50,110],[55,76],[60,67],[65,61],[70,56],[75,63],[80,44],[85,46],[90,35],[95,34],[100,41],[105,31],[110,29],[115,26],[120,16],[125,22],[130,20],[135,14],[140,18],[145,21],[150,9],[155,9],[160,11],[165,9],[170,9],[175,9],[180,8],[185,11],[190,4],[195,4],[200,6],[205,6],[210,3],[215,10],[220,5],[225,5],[230,6],[235,4],[240,7],[245,8],[250,6],[255,6],[260,3],[265,5],[270,4],[275,6],[280,7],[285,3],[290,1],[295,3],[300,2],[305,3],[310,4],[315,2],[325,4],[330,3],[335,1],[340,2],[345,5],[350,4],[355,5],[360,3],[365,2],[370,2],[375,2],[380,1],[385,4],[390,3],[395,1],[400,2],[405,1],[415,2],[420,1],[425,1],[430,1],[440,2],[445,1],[450,1],[460,2],[465,2],[475,3],[480,1],[495,3],[500,2],[505,1],[510,3],[515,2],[525,3],[540,4],[545,1],[550,1],[555,2],[565,1],[575,1],[585,1],[590,1],[595,1],[600,1],[605,1],[610,3],[625,2],[630,1],[640,2],[645,1],[665,1],[675,1],[685,1],[690,1],[695,1],[710,2],[725,1],[730,2],[735,2],[740,1],[760,2],[765,2],[785,1],[795,1],[805,2],[815,1],[830,2],[835,1],[855,1],[925,1],[935,1],[945,1],[950,1],[965,2],[970,1],[975,1],[990,1],[995,37],[1000,17]]",469769.305410502,34
Tazewell County,Virginia,37.3096376,37.0031791,-81.2354042,-81.8702725,37.1425785329837,-81.5890436240075,1022.55,1007,18.0852476430753,73.935389133627,3345,12812,7910,10144,93767,30,127978,7.5,31994.5,877590.687683106,4043327.89239502,2204425.52091064,3024023.48603516,28640829.4227051,8765.18713378906,38790197.0097289,"[[0,294],[5,317],[10,132],[15,75],[20,38],[25,15],[30,16],[35,15],[40,9],[45,10],[50,4],[55,4],[60,5],[65,3],[70,4],[75,2],[80,1],[85,4],[90,5],[95,2],[100,2],[105,1],[110,4],[115,1],[120,1],[125,1],[130,1],[135,1],[145,2],[155,1],[160,1],[170,1],[175,1],[180,1],[190,2],[205,1],[220,1],[230,1],[250,1],[255,1],[275,1],[300,1],[305,1],[315,2],[345,2],[390,1],[395,1],[405,1],[435,1],[535,1],[575,1],[585,1],[600,1],[625,1],[685,1],[705,1],[995,4],[1000,4]]",32112.6181878879,0
Tehama County,California,40.4377789,39.7994664,-121.3725224,-122.630439,40.0919782215749,-122.181792105304,1136.45,1,0.061437640794594,16.6666666666667,9,78,6,22,11,126,126,31.5,31.5,2851.91394042969,28788.8413330078,1774.83486328125,6873.5083984375,3635.65751953125,43924.7560546875,43924.7560546875,"[[30,1]]",11.9752511826975,0
Teton County,Wyoming,44.6596607,43.2969524,-110.1623727,-111.046529,43.5914041614217,-110.755647647472,1066.75,144,3.81653833277536,42.1052631578947,336,6166,3191,3222,3940,22,16855,5.5,4213.75,84951.8612792969,2027084.9671875,957737.971484375,915753.298510742,1196410.55847168,6913.39821777344,5181938.65693359,"[[0,62],[5,18],[10,9],[15,7],[20,5],[25,5],[30,11],[35,4],[40,2],[50,2],[55,1],[60,2],[65,1],[70,2],[75,2],[90,1],[110,1],[120,1],[130,1],[155,1],[165,1],[190,2],[195,1],[220,1],[600,1]]",1377.92072375633,1
